ID,LOCATION,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Total,Pct Avg to Date
ASHO3,ASHLAND,0.36,1.97,2.90,1.84,1.09,2.06,1.01,1.37,1.21,0.00,0.51,0.48,14.80,75
CVJO3,CAVE JUNCTION,2.11,6.05,11.58,1.76,6.34,6.62,0.53,3.55,2.72,0.05,0.14,0.25,41.70,67
GOLO3,GOLD BEACH,2.44,8.52,15.24,3.98,11.47,11.19,3.40,4.89,0.78,0.25,0.09,1.28,63.53,80
GPSO3,GRANTS PASS KAJO,0.73,3.44,5.35,1.60,2.53,3.22,1.13,2.56,1.23,0.00,0.53,0.13,22.45,72
GSPO3,GREEN SPRINGS PP,0.87,2.11,2.82,2.50,1.85,3.31,1.57,2.09,1.73,0.00,0.14,0.16,19.15,83
LEMO3,LEMOLO LAKE,2.70,8.28,19.02,6.76,4.57,9.11,3.16,4.92,4.62,0.03,0.17,0.71,64.05,98
MFR,MEDFORD,0.40,2.29,2.93,1.52,0.91,1.57,0.36,2.18,1.14,0.00,0.38,0.08,13.76,75
OTH,NORTH BEND,2.32,6.86,9.20,3.82,7.19,8.56,2.64,2.87,1.28,0.09,0.29,1.48,46.60,72
PRSO3,PROSPECT 2SW,1.41,6.30,8.91,3.96,2.43,5.75,2.00,4.51,1.36,0.00,0.06,0.16,36.85,87
RIDO3,RIDDLE,0.86,4.35,6.19,1.58,2.54,2.95,0.91,1.46,1.39,0.07,0.06,0.49,22.85,72
ROGO3,ROSEBURG,1.46,4.37,7.04,1.68,3.00,3.56,0.97,1.69,1.12,0.10,0.18,0.82,25.99,77
SXT,SEXTON SUMMIT,1.94,5.17,7.52,1.79,4.72,4.84,0.94,2.95,1.00,0.01,0.20,0.52,31.60,95
TKFO3,TOKETEE FALLS,1.60,7.73,10.28,4.18,2.94,6.54,2.72,3.37,2.04,0.00,0.06,0.89,42.35,87
WINO3,WINCHESTER DAM,1.30,4.81,8.02,1.76,3.08,4.05,0.95,1.91,0.74,0.35,0.11,0.97,28.05,78
WLMO3,WILLIAMS,0.97,3.04,6.99,1.59,2.26,3.85,0.33,2.50,2.34,0.00,0.18,0.05,24.10,74
HMRO3,HART MOUNTAIN REF,0.52,0.65,1.14,0.50,0.82,0.74,1.27,1.04,3.44,0.02,0.80,0.00,10.94,86
PASO3,PAISLEY,0.15,0.50,0.02,0.37,0.30,0.10,0.44,0.16,1.40,0.10,1.62,0.00,5.16,48
SMMO3,SUMMER LAKE,0.22,1.18,1.66,0.62,0.93,1.36,0.70,1.69,2.99,0.12,1.41,0.00,12.88,101
SVLO3,SILVER LAKE,0.72,0.53,0.49,0.31,0.56,1.18,0.40,1.70,2.19,0.06,0.43,0.01,8.58,88
CEC,CRESCENT CITY ASOS,2.24,7.35,13.43,2.85,9.06,7.82,1.39,3.73,0.25,0.06,0.08,0.67,48.93,NA
CECC1,CRESCENT CITY 3NNW,2.78,9.53,18.09,3.94,11.27,10.53,1.75,5.16,0.32,0.07,0.10,0.99,64.53,97
CVLC1,COVELO,1.73,2.58,5.08,1.51,6.64,3.76,0.59,3.77,1.35,0.00,0.91,0.00,27.92,66
EKA,EUREKA,0.93,5.52,6.66,1.58,6.20,5.45,1.23,2.93,0.18,0.06,0.02,1.03,31.79,83
FRBC1,FT BRAGG 5N,1.45,3.93,4.67,1.38,6.61,3.66,0.79,3.37,0.03,0.03,0.03,0.37,26.32,64
GASC1,GASQUET RS,4.66,12.74,23.39,4.20,12.75,14.40,1.74,8.55,0.50,0.45,0.04,0.53,83.95,91
RIHC1,RICHARDSON GROVE SP,3.88,6.51,8.63,2.01,12.79,9.78,0.95,6.05,0.29,0.00,0.03,0.48,51.40,75
WTSC1,WILLITS 1NE,2.54,2.90,4.78,1.40,8.58,4.48,0.47,4.25,0.01,0.00,0.00,0.12,29.53,59
BLIO3,BLY 4SE,0.50,1.20,0.85,0.89,0.81,1.75,1.86,1.16,2.51,0.00,0.75,0.04,12.32,NA
CHEO3,CHEMULT,0.96,2.96,5.98,1.72,2.75,3.53,0.42,2.41,3.66,0.00,0.60,0.00,24.99,97
CHQO3,CHILOQUIN 7NW,1.54,2.85,5.37,1.67,2.14,2.29,0.46,2.74,1.62,0.00,0.39,0.04,21.11,106
CRLO3,CRATER LAKE NP,3.81,10.84,13.86,6.23,6.73,9.15,4.53,6.51,2.95,0.10,1.07,0.48,66.26,99
GBZO3,GERBER,0.80,1.20,2.80,1.10,1.20,1.70,1.30,2.10,2.80,0.10,1.20,0.00,16.30,89
KENO3,KENO,0.87,2.51,2.56,1.19,1.11,2.35,0.84,1.84,2.13,0.00,0.36,0.00,15.76,78
LMT,KLAMATH FALLS,0.76,1.18,2.42,0.61,0.84,1.34,0.63,1.71,1.68,0.00,0.34,0.00,11.51,82
CHNC1,CALLAHAN,1.21,1.06,1.66,1.06,2.37,1.82,2.15,1.76,2.10,0.00,0.22,0.12,15.53,73
COPC1,COPCO #1 DAM,0.61,2.79,3.97,1.18,1.68,2.27,0.88,2.19,1.94,0.00,0.11,0.00,17.62,86
FOJC1,FORT JONES,0.81,1.98,1.62,0.86,3.20,1.30,0.23,1.60,2.66,0.00,0.17,0.00,14.43,66
HPYC1,HAPPY CAMP,1.45,5.28,8.61,2.02,3.72,5.51,0.31,3.80,1.44,0.00,0.37,0.10,32.61,63
MTHC1,MT. HEBRON RS,0.50,1.08,0.69,0.40,0.51,1.10,0.15,0.66,1.89,0.14,0.33,0.00,7.45,59
ORLC1,ORLEANS,1.97,6.72,11.92,2.52,6.22,5.44,0.82,4.26,0.85,0.00,0.00,0.35,41.07,78
STGC1,LAVA BEDS NM,0.38,1.67,0.88,0.31,3.03,2.25,0.60,0.37,2.04,0.06,0.22,0.03,11.84,79
TRHC1,TRINITY RIVER HATCHERY,1.79,2.39,3.20,1.10,5.42,1.88,0.67,3.50,3.86,0.00,0.57,0.03,24.41,74
TULC1,TULE LAKE,0.34,1.20,0.68,0.73,0.61,0.98,0.93,0.50,2.52,0.00,0.25,0.02,8.76,77
WEAC1,WEAVERVILLE,2.34,4.00,4.04,1.23,5.73,2.06,0.66,3.70,2.25,0.30,0.69,0.10,27.10,71
WLLC1,WILLOW CREEK 1NW,1.68,5.15,10.67,2.46,7.44,5.96,0.34,4.23,1.41,0.00,0.19,0.23,39.76,73
YKAC1,YREKA,0.52,1.28,2.11,0.95,1.81,1.44,0.34,4.14,2.72,0.64,0.32,0.05,16.32,83
FFDC1,FAIRFIELD,0.45,2.67,2.87,1.55,9.31,2.39,1.10,1.13,0.00,0.00,0.00,0.04,21.51,92
MHMC1,MOUNT HAMILTON,0.55,3.38,4.76,2.61,7.32,4.68,0.67,1.05,0.04,0.00,0.03,0.40,25.49,107
PORC1,POTTER VALLEY PH,2.87,3.71,5.23,1.16,9.11,4.46,0.93,3.90,0.53,0.00,0.00,0.00,31.90,70
SFO,SAN FRANCISCO AIRPORT,0.35,2.31,2.82,0.90,7.92,2.76,0.24,0.80,0.00,0.00,0.00,0.28,18.38,91
SFOC1,DOWNTOWN SAN FRANCISCO,0.35,2.31,2.82,0.90,7.92,2.76,0.24,0.80,0.00,0.00,0.00,0.28,18.38,82
UKI,UKIAH ASOS,1.27,2.92,3.24,0.73,8.69,2.66,0.31,2.49,0.00,0.00,0.00,0.01,22.32,NA
AUBC1,AUBURN,0.88,2.63,3.06,3.15,6.39,3.81,1.49,3.61,0.45,0.00,0.00,0.20,25.67,70
BNYC1,BURNEY,0.60,2.65,3.14,1.56,5.55,3.81,0.98,1.25,2.54,0.00,0.28,0.11,22.47,84
BODC1,BOWMAN DAM,3.89,8.14,10.11,5.24,16.26,11.58,1.93,9.45,1.38,0.00,0.24,0.00,68.22,99
BUKC1,BUCKHORN,2.36,7.55,9.74,3.47,13.54,7.27,1.88,3.77,2.99,0.00,0.07,0.14,52.78,79
CANC1,CANYON DAM,2.00,4.38,4.01,1.83,8.94,6.08,0.97,3.01,1.05,0.00,0.15,0.01,32.43,86
CHEC1,CHESTER,1.71,3.99,3.31,1.34,6.85,4.82,0.68,2.98,1.06,0.40,0.17,0.00,27.31,83
CLGC1,COLGATE PH,1.64,3.27,4.67,3.25,12.83,5.06,1.01,5.90,0.68,0.00,0.00,0.34,38.65,94
DESC1,DE SABLA,4.49,5.37,8.18,4.68,22.84,7.47,0.94,5.98,0.76,0.00,0.00,0.96,61.67,94
DUNC1,DUNSMUIR,4.03,6.74,5.53,1.05,15.50,12.32,1.61,6.75,1.50,0.00,0.24,0.14,55.41,89
FSTC1,FORESTHILL RS,1.57,6.77,7.11,4.68,10.69,8.20,2.76,6.65,0.38,0.00,0.00,0.16,48.97,94
GLRC1,GOLD RUN 2SW,1.48,5.62,6.71,4.62,11.34,4.79,2.51,6.27,0.42,0.00,0.00,0.08,43.84,80
