ID,LOCATION,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Total,Pct Avg to Date
4BK,BROOKINGS,1.29,12.40,22.36,15.58,12.50,5.93,5.69,1.61,0.45,0.10,2.77,1.16,81.84,111
ASHO3,ASHLAND,0.16,2.46,3.36,2.42,2.82,1.43,1.33,2.17,0.22,0.32,1.50,0.13,18.32,93
CVJO3,CAVE JUNCTION,0.32,6.19,17.35,8.56,12.35,4.78,4.97,1.10,0.16,0.00,0.21,0.78,56.77,91
GOLO3,GOLD BEACH,1.45,9.86,19.79,11.86,11.80,4.02,5.89,7.84,0.63,0.04,0.80,1.62,75.60,95
GPSO3,GRANTS PASS KAJO,0.10,2.82,8.92,4.01,5.26,2.48,1.41,0.97,0.11,0.02,0.41,0.34,26.85,86
GSPO3,GREEN SPRINGS PP,0.20,2.76,4.80,3.15,4.55,1.70,1.28,2.83,0.16,0.14,0.55,0.57,22.69,99
LEMO3,LEMOLO LAKE,2.34,9.31,16.18,9.47,7.14,3.89,4.59,5.70,2.34,0.34,2.79,2.51,66.60,102
MFR,MEDFORD,0.05,2.38,4.67,2.98,3.35,1.27,0.75,1.27,0.18,0.00,0.52,0.04,17.46,95
OTH,NORTH BEND,2.01,10.11,16.73,11.60,9.93,3.76,4.75,2.10,1.84,0.05,0.90,5.26,69.04,107
PRSO3,PROSPECT 2SW,0.32,6.18,10.33,17.13,6.16,3.20,2.88,3.12,0.37,0.05,1.19,0.62,51.55,122
RIDO3,RIDDLE,0.58,4.37,8.24,5.32,3.40,1.33,1.11,1.40,1.01,0.05,0.75,0.82,28.38,90
ROGO3,ROSEBURG,0.50,5.25,8.81,6.17,4.04,2.90,1.72,1.24,1.40,0.00,0.90,1.08,34.01,101
SXT,SEXTON SUMMIT,0.30,3.84,11.35,3.47,5.11,2.48,1.43,2.43,0.00,0.00,0.39,1.08,31.88,96
TKFO3,TOKETEE FALLS,1.50,5.76,10.35,7.79,5.08,2.68,3.80,5.21,1.26,0.02,1.80,1.36,46.61,95
WINO3,WINCHESTER DAM,0.67,5.38,10.19,6.59,4.11,2.32,1.86,2.26,1.34,0.13,0.89,1.65,37.39,105
WLMO3,WILLIAMS,0.17,2.22,8.28,4.71,5.13,2.10,1.61,0.86,0.37,0.00,0.20,0.18,25.83,79
HMRO3,HART MOUNTAIN REF,0.54,0.70,0.86,0.57,0.92,0.36,0.97,2.16,0.80,0.15,1.32,1.10,10.45,82
PASO3,PAISLEY,0.30,0.39,0.74,0.72,1.85,0.35,0.46,1.92,0.98,0.24,0.52,0.68,9.15,85
SMMO3,SUMMER LAKE,0.30,0.69,1.33,1.32,1.83,0.43,0.94,2.03,0.38,0.13,1.01,0.15,10.54,83
SVLO3,SILVER LAKE,0.12,0.39,1.41,1.14,1.80,0.34,0.74,1.42,0.33,0.22,1.02,0.02,8.95,91
CECC1,CRESCENT CITY 3NNW,0.99,9.33,21.30,11.86,12.40,4.95,4.95,1.21,0.34,0.19,1.31,1.05,69.88,105
CVLC1,COVELO,0.00,6.24,13.42,6.30,10.57,1.88,0.97,0.23,0.02,0.00,0.00,0.03,39.66,94
EKA,EUREKA,0.55,5.78,11.35,6.29,8.12,2.38,1.68,1.37,0.06,0.06,0.43,0.68,38.75,102
GASC1,GASQUET RS,0.94,9.15,26.15,13.47,15.73,6.45,8.95,1.66,0.28,0.05,1.30,1.21,85.34,93
RIHC1,RICHARDSON GROVE SP,0.00,7.07,22.17,11.23,16.83,2.99,2.40,0.25,0.00,0.00,0.00,0.00,62.94,92
BLIO3,BLY 4SE,0.06,1.11,2.55,1.11,2.58,0.21,1.10,1.79,0.92,0.16,0.39,0.00,11.98,NA
CHEO3,CHEMULT,0.27,2.45,7.98,5.01,5.45,1.54,1.15,1.18,1.06,0.25,1.61,0.14,28.09,109
CHQO3,CHILOQUIN 7NW,0.05,2.59,4.86,4.08,3.34,0.94,0.30,1.92,0.61,0.30,0.48,0.08,19.55,98
CRLO3,CRATER LAKE NP,0.95,8.85,11.89,12.42,9.03,4.28,3.86,3.13,0.27,0.27,4.93,1.99,61.87,93
